Topics,Sub-Topics,Query
Bereavement Leave,Bereavement Leave Policy,bereavement leave
Deductions,DC ER Deduction Type,what type of deduction is DC ER?
Legal & Compliance Issue,Tort Assistance,tort assistance
Manager Information,Pharmacy Managers Assistance,pharmacy managers assistance
Bonus,Program Office Employee Sales Bonus,bonus for Program Office Employee sales representative
Payroll,Payslip Request,payslip request
Forms,1451 Form Submission Timeline,How soon can an employee in scal region submit the 1451?
Employee Status,HRIS Status Change Timeline,How long can a status HRIS status change can take effect for ncal  employee?
Leave of Absence,Protected Sick Plan CO HFWA,Protected Sick Plan CO HFWA
Employee Status,Status Update Processing Time,what is the processing time for status update for ncal?
Forms,1001 Form,Help me with 1001 form
Employee Status,Employee Status Change,how to change employee status fpor ncal?
Forms,100 Form,what is 100 form?
Employee Information,Epic Legal Name Change,epic legal name
Forms,100 Form,Help me with 100 form
Employee Information,Epic Legal Name Change,epic legal namen
Disability Benefits,Long Term Disability Compensation,How much will long term disability compensate for NCAL UHW?
Retirement & Savings Plan,Vanguard Information,Help me with vanguard
Disability Benefits,Long Term Disability Compensation,How much will LTD compensate for NCAL UHW?
Communications,Communication Staff Meeting,what is comm staff mtg?
Payroll,Salary Change Request,CHANGE SALARY
Bonus,Part-Time Annual Bonus Calculation,How to calculate annual bonus part time?
Business/Finance,Southern California ROI,souther california ROI
Business/Finance,SCAL ROI Contact Number,scal roi contact number
Forms,1510 Form Cancellation,cancellation of 1510
Worker's Compensation,Worker's Compensation Claims,workers compensaion
Document Access,Encrypted Document Download,How employee going to download supporting documents that has a encryption protected
Forms,1452 Form,Help me with 1452 form
Payroll,Wage Audit,wagw audit
HR Policies,Employee Handbook,Employee handbook
Recruiting & Hiring,Previous Positions Inquiry,SEE PREVIOUS POSITIONS
Leave of Absence,ESL Coding for FMI Hours,how many esl should be coded for an employee in Ncal that has 47 hours of Full Manual Integration?
Forms,Service Distribution Form,can i get service distribution form from nhrsc?
Forms,Service Distribution Form,what is a service disrtribution form?
Medicare,Medicare SSVOE,medicare ssvoe
Insurance Claims,National Medical Support Notice PO Box,does the claim for national medical support notice has the same p.o box for medical and dental?
Badge ID,Badge Update,badge update
Forms,1510 Form Information,Help me with 1510
Employee Information,Employee Address Sharing,can I provide manager with their employee's address?
Leave,Intermittent Leave Accruals,intermittent accruals
Leave,Intermittent Vacation,intermittent vacation
Timekeeping & Attendance,Date of Occurrence,date of occurence
IT Support,IT Contact,IT CONTACYT
Timekeeping & Attendance,Timekeeping Access,TIMEKEEPING ACCESS?
Legal & Compliance Issue,Legal Assistance,Help me with legal
Manager Information,Executive Team Contact,excecutive line
Manager Information,Executive Team Contact,Excecutive team
Goals,Non-Union Goal Setup,GOALS SET UP FOR NON UNION
Employee Relations,Coworker Dispute Resolution,coworker dispute
Leave of Absence,Sabbatical Leave,sabbatical leave
Bereavement Leave,Bereavement Leave Policy,bereavement leave
Bereavement Leave,Unpaid Bereavement Leave,is the additional 2 days on bereavement leave unpaid?
Recruiting & Hiring,Internal Applicant Password Update,how can an internal applicant update the password in kp.org/careers website?
Insurance & Benefits,Dependent Insurance,dependents insurance
Insurance & Benefits,FSA Eligibility for Commuter Benefits,"I consider myself kind of new in Kaiser like the benefits. So recently, well, we have a bidding among nurses and I was transferred to a different working location. But so in short, I was told that the Kaiser offers like commuter benefits to employees. So like for me, ever since I'm working because I don't drive. So I'm taking the bus or the Uber or Lyft. But that time I didn't, you know, I have my question is I have FSA before is the FSA"
Disaster Relief,California Fire Assistance,California Fire Assistance?
Disaster Relief,Northern California Wildfire Assistance,Northern California wild fire?
Disaster Relief,Wildfire Assistance,Help me with Wild fire
Benefits,GAM Spousal Coverage,GAM Spousal
Insurance & Benefits,Colorado FAMLI,Help me with co famli
Forms,1422 Form Information,rule of 1422
Forms,1422 Form Information,Help me with 1422 form
Forms,AB109 Form,What is ab 109?
Forms,AB109 Form,ab109 works
Benefits,Benefits Cancellation during LOA,does an employee has an option to cancel out her benefits while on a leave of absence
Forms,3314 Form,Help me with form 3314
Timekeeping & Attendance,Washington Employee Manual Holiday Absence,can employees from washington manually add absence holidays
Timekeeping & Attendance,HCM Manual Holiday Absence,cam ees manual add absence of holiday in hcm
Timekeeping & Attendance,HCM Manual Holiday Absence,can employees manually add absence the holidays that was withdrawn in hcm
Timekeeping & Attendance,Withdrawn Hours in Time Off Balance,What is the withdrawn hours in the time off balance?
Timekeeping & Attendance,Holidays Withdrawn in HR Connect for LOA,Employee is currently on Leave of Absence showing withdrawn her holidays in hr connect.
Leave of Absence,Industrial Leave Duration,duration of industrial leave
Retirement & Savings Plan,Disability Retirement,disability retirement
PTO Policy,ETO Usage on Reduced Work Schedule,can the employee use her ETO when she returned to work on a reduced work schedule?
Benefits Eligibility,Per Diem Employee Benefits at 65,"when the employee turn 65, can you go per diem and still have coverage?"
Forms,1540 Form,what is 1540?
HR Policies,Breastfeeding Guidelines,breastfeeding guidelines for employees in Mid-Atlantic State
Leave,Intermittent Leave Process,intermittent process
Leave,Intermittent Leave SLA,SLA for intermittent
Forms,PTS Form,Help me with PTS
Work Restrictions,Transitional Work,transitional work
Work Restrictions,Transitional Work,transitioanl work
Inquiry Status,Inquiry Status Check,check imquiry
Medicare,Medicare SSVOE,medicare ssvoe
Taxes,1099 Form,What is 1099?
Applications and Software,WAM Access,Help me with WAM
Leave of Absence,Protected Sick Leave for Family Care,usage of protected sick plan during personal leave for family care
Timekeeping & Attendance,Worked Hours Inquiry,worked hours
Payroll,Pay Policy,pay policy
Payroll,Retro Pay Request,retro pay request
Recruiting & Hiring,Job Application during Medical Leave,can an employee still be able to apply for a jobif they are on medical leave?
Work Restrictions,Return to Work after Industrial Leave,what is the next step if employee did not pass the physical test before returning to work from industrial leave?
Leave,Intermittent Leave Certificate,certificate forintermittent leave
Medicare,Medicare SSVOE,medicare ssvoe
Performance Review,Performance Review Effective Date,performance review effective date
Forms,1422 Form Effective Date,when will 1422 take effect?
Business/Finance,Cost Benefit Analysis,cost benefit
Performance Review,Performance Review Effective Date,performance review cover effective date
Timekeeping & Attendance,Regular Hours Coding,who is coding the regular hours?
Employee Benefits,Car Assistance Program,car assistance
HR Policies,LCR Coordinator,lcr coordinator
HR Policies,License Coordinator,license coordinator
Military Leave,Military Exigency Leave,Can the employee still take military exigency even if they are not FMLA approved?
HR Policies,LCR Coordinator,lcr coordinator northern california
Forms,TB Screen Form,TB Screen Form?
Pay Differential,Night Differential Pay,night differential
Holiday Pay,Memorial Holiday Pay,memorial holiday
ADA Accommodation,ADA Accommodation Request,ADA accommodation
Forms,1451 Form Submission,submitting 1451
Recruiting & Hiring,Internal Applicant External Position,does internal applicants can apply for an external position?
Leave of Absence,Additional Medical Leave Process,What the EE needs to do for another medical leave?
Leave of Absence,Life Balance Hours for Medical Leave,employee on medical leave and can he use his life balance hour on his medical leave of absence?
Forms,Form Mailing Options,is the form can be sent via overnight for mailing?
Leave of Absence,Life Balance Hours for Medical Leave,can employee use life balance during medical leave of absence
Forms,1422 Form Purpose,What is the purpose af the 1422 in Mas region?
FMLA,Colorado FMLA for 3 Days Off,does colorado employee needs to initiate fmla leave for 3 days off work?
Recruiting & Hiring,Internal Application Process,internal application
Family Leave,San Francisco Paid Parental Leave Claim,How to follow up with the claim for San Francisco Paid Parental Leave
Benefits Billing,Benefits Billing Suspension,benefits billing suspension
Forms,JFA Letter,JFA letter
HCSA,HCSA and DCSA Claim Filing,is march 31 filling a claim is applicable for both HCSA and DCSA?
Loan Payments,Loan Payment Suspension during LOA,suspension of loan payments while on a leave of absence
FMLA,FMLA Usage During Approval Pending,can employee use FMLA while approval pending
Scheduling,KPWA Schedule Correction,KPWA SCHEDULE CORRECTION
Taxes,Head of Household Tax Exemption,is head of household due for tax exemption?
Case Management,Case Escalation for Leave Status,why do we need to create a case escalation for all region about a leave status update?
Case Management,Case Escalation for Leave Status,why do we need to create a case escalation case for all region about a leave status update?
Taxes,Tax Advisor Information,tax advisor
Taxes,Taxpayer Identification Number (TIN),Help me with TIN
Payroll,ADP Login Issues,Help me with my adp
Benefits Enrollment,Dependent Benefits Enrollment,can you add the spouse of your dependent into your benefits?
Uncategorized,Uncategorized,SPANISH DEPARTMENT
Worker's Compensation,Worker's Compensation Claims,worker's compensation
PTO Policy,Optional Usage and PTO Differences,optional usage and PTO Differences
PTO Policy,Optional Usage,optional usage
PTO Policy,Optional Usage,how to use optional usage on employees bank
Charitable Contributions,Charitable Contributions Information,need info on Charitable Contributions
Employee Separation,Sick Time Payout on Final Check,sick time on final check
Employee Separation,Sick Time Payout on Final Check,sick timr final paycheck
Payroll,Pay Integration,PAY INTEGRATION FOR SALARIED EMPLOYEE IN KP IT
Education Assistance,UHW Educational Leave Eligibility,UHW Educational leave eligibility
Insurance & Benefits,Dental HMO Plans,what are the dental HMO plans under kaiser?
Insurance & Benefits,Delta Dental Basic Plan HMO,is delta dental basic plan HMO?
Insurance & Benefits,Delta Dental Basic Plan HMO,is delta dental basic plan an HMO plan?
Benefits Eligibility,Per Diem Employee Benefits,A PER DIEM EMPLOYEE CAN HAVE IN LEU OF BENEFITS
Leave of Absence,Personal Leave Request,personal leave
Employee Status,Inactive to Active Position Change,once a positino in inactive can it be changed to active?
Forms,1480 Courtesy Email,1480 courtesy email
Forms,1480 Courtesy Email,courtesy email
Reimbursement,Mileage Reimbursement Policy,mileage reimbursement
Reimbursement,Mileage Reimbursement Policy,mileage reimbursmeent
Family Leave,Maryland Paid Family Leave,maryland paid family leave
PTO Policy,PTO Audit,Help me with pto audit
Leave of Absence,Pregnancy Leave for On-Call Employees,can on call employee on MAS request for a pregnancy leave?
Family Leave,Colorado Family Care Act,What is Colorado Family Care Act
Family Leave,Colorado Family Care Act,what is cfca?
Uncategorized,Uncategorized,what is scfca
Family Leave,Baby Bonding Duration,Until when can the employee take her baby bonding?
Retirement & Savings Plan,Retirement Forms,retirement form
Leave of Absence,Bridging Leave,How does bridging leave works for ncal region?
Employee Relations,Work Environment Concerns,Work environment issues?
Fraud & Theft,Reporting Fraud or Identity Theft,How employee report fraud or identity theft?
Leave of Absence,Bridging Leave,how does bridging leave works
Leave of Absence,Bridging Leave,bridging leave
Worker's Compensation,Worker's Compensation Claims,workers compensation
Worker's Compensation,Worker's Compensation Claims,workers compenstion
Payroll,Metlife Pay Taxes,Is her pay taxes from metlife?
Payroll,Short Term Disability Taxability,Do they need to pay taxes when they receive pay from Short term disability?
Payroll,Hourly Rate Information,hourly rate
Employee Reinstatement,Reinstatement After Military Duty,can the employee go back to the same position after military duty
Work Restrictions,Modified Duty,modified duty
Employee Information,Inactive Employee ID,How the inactive employee get their employee id?
Payroll,Salary Change for Direct Report,CHANGE SALARY OF MY DIRECT REPORT
Retirement & Savings Plan,Retirement Case Manager,case manager for retirement for SCAL
Telecommuting Policy,Telecommuting Sub Reason,what's the sub reason for telecommuting?
Holiday Pay,NUE Employee Holiday Pay Eligibility,Employee that is NUE paid status should be entitle to the holiday pay?
Medical Documentation,Doctor's Note for Non-Participating Provider,"what if the family members' provider is not participating, where should we get the doctors note"
Employee Relations,Discrimination Complaint,file a complaint due to discrimination
Holiday Pay,NUE Employee Holiday Pay Eligibility,Should employee be entitle to the holiday pay if they are NUE employee from NCAL region paid status maternity leave
Medical Documentation,Doctor's Note from Different Doctor,Can the employee get a doctors note to a different doctor?
Employee Relations,Work Environment Concerns,work environment issue
Communications,Comms Day Information,what is comms day?
Pension,Pension Merge for Legal Entity Change,will the pension of the employee going to be merged if the employee changed into a different legal entity?
Payroll,W2 for Terminated Employees,send w2 to terminated
HR Connect,HR Connect Login Issues,HRCONNECT login issue
Bereavement Leave,Bereavement Leave Policy,bereavement leave
Anniversary,Anniversary Gift,anniversary gift
Anniversary,Anniversary Gift,Help me with annoversary
FMLA,Court Appointment FMLA Coverage,is court appointment being covered by FMLA
FMLA,Court Appointment FMLA Coverage,is court appointment being covered by FMLA
PTO Policy,Donated Hours for Vacation,can donated hours be used foe vacation?
Recruiting & Hiring,Position Duplication,position cannot be duplicated
FMLA,Intermittent FMLA Extension,how to submit extension for intermittent fmla
Timekeeping & Attendance,Hours Worked Inquiry,asking for the hours they work on Kaiser
Medicare,Medicare SSVOE,Medicare SSVOE
Medicare,Medicare Information,Help me with medicare
Contractor Management,Contractor Position Changes,contractor position changes
Contractor Management,Contractor Manager Change,contractor manager change
Legal & Compliance Issue,Legal Guardianship Papers,legal guarganship papers
Leave of Absence,ESL Cash Out,ESL cash out
Benefits Enrollment,Dependent Coverage,Dependent coverage
Account Access,Access After Resignation,ACCESS AFTER RESIGNATION
Insurance & Benefits,Colorado FAMLI,colorado famli
Leave of Absence,Medical Leave of Absence,medical leave of absence
Leave of Absence,Pre-banked ESL Hours for LOA,are pre banked esl hours used before esl hours for a leave of absence
Worker's Compensation,Industrial Appointments,industrial appointments
EDD Claims,EDD Claim Process with Out-of-Country Physician,what should be the process in filing calim with EDD if the physician is out of the country.
Leave of Absence,CA SDI Bridging of Leave,CA SDI Bridiging of leave
Pay Differential,Military Make-Up Pay Coding,make up pay
Payroll,Annual Salary Information,annual evaluation
Invalid,Invalid,what is tucker time?
Uncategorized,Uncategorized,what is calpers system?
Leave of Absence,Supplemental Medical Denial Letter,what is denial of service letter?
Forms,I-9 form assistance,Help me with DE254703
Insurance & Benefits,Colorado FAMLI Denial,EDD Denial
FMLA,Pregnancy Disability Leave,PREGNANCY DISABILITY LEAVE ELIGIBILITY
Insurance & Benefits,State Disability Insurance (SDI),state disability insurance
Leave,Intermittent leave,Help me with INTERMITTENT
Insurance & Benefits,Physician's Benefits,Help me with physician
Payroll,Final check,final check status
Business/Finance,Financial performance/summary,physician line
Insurance & Benefits,Physician's Benefits,Help me with physician
Leave of Absence,Return to Work Procedures,termination never return from leave
Leave of Absence,Return to Work Procedures,never return from leave
FMLA,EIB usage in intermittent family care FMLA,Help me with onelink
Employee Separation,Benefits Termination Process,vacations before termination
Leave of Absence,Sick Hours Information,use of sick hours
Uncategorized,Uncategorized,Pathway to Wellness
Education Assistance,Voluntary Programs,pathway program
Education Assistance,Voluntary Programs,pathways program
Timekeeping & Attendance,Incorrect Code,Incorrect coding?
Training & Development,HR Consultant Role,HR CONSULTANT
HR Policies,SCAL Local HR Contact,SCAL LOCAL HR
Reimbursement,Mileage Reimbursement Policy,mileage reimbursement
Retirement & Savings Plan,Life Balance program,What is life balance in Ncal region
HCSA,Healthcare Flexible Spending Account (HCFSA) Update,healthcare spending
Retirement & Savings Plan,Life Balance program,What is life balance in Ncal?
Legal & Compliance Issue,Legal transfer information,LEGAL EMPLOYEE TRANSFER
Uncategorized,Uncategorized,non-requisition business unit and/or legal employer transfers.
Insurance & Benefits,PTO Accrual during Bonding Leave,can an employee from NCAL elect not use PTO while on bonding?
Payroll,Past-Dated Transfers,retro transfers
Recruiting & Hiring,KP Careers Application Status,kp careers
Disability Management,Disability Case Manager,Disability Case Manager
Disability Management,Disability Case Manager,Disability Case Manager of someone from Regional Admin Services
Badge ID,Badge ID,badge request
Badge ID,Badge ID,Help me with badge
Recruiting & Hiring,KP Careers Application Status,Help me with kp cares
Voluntary Programs,KP Cares Volunteering Programs,Help me with volunteering
Forms,Extension Form Submission,extending WA PFML
Timekeeping & Attendance,Timecard Approval,how to approve timecard
Holiday Pay,Holiday Pay Eligibility during LOA,is the EE entitled of holiday pay during the leave of absence with pay?
Scheduling,Scheduling Information,Help me with schedule
Family Leave,Bonding Leave Request,Help me with bonding
HR Policies,Mass Transfers,mass transfer
Insurance & Benefits,Health Insurance Inquiry,health insurance
Forms,I-9 form assistance,Help me with mercr
Legal & Compliance Issue,Medical Malpractice Assistance,medical malpractice
Leave of Absence,Protected Sick Leave,protected sick leave
Legal & Compliance Issue,Third-Party Requests,third party
Forms,I-9 form assistance,Help me with COIs
Forms,I-9 form assistance,Help me with COI
Forms,I-9 form assistance,Help me with 2090
Leave of Absence,CESLA Hours Usage for Family Care,cesla hours towards family care
Leave of Absence,Sick Hours Usage for Family Care,use of sick hours for family care
Employer Contributions,ER Contribution to 401k,What is ER contribution?
Manager Information,New Manager Organization,NEW MANAGER ORG
Family Leave,Bonding Leave Request,bonding leave
Leave of Absence,Sedgwick Questions,Help me with sedgewick
Worker's Compensation,Worker's Compensation Payer,who pays worker's compensation?
HR Connect,Case Status Inquiry,how to check cases on hr connect dash board
Worker's Compensation,Worker's Compensation Payer,who administers worker's coomp pay?
Leave of Absence,ESL hours on Paycheck,Help me with ESL
Business/Finance,Concur Help,Help me with CONCUR
Leave of Absence,Pregnancy Disability Leave,Help me with pdl
Insurance & Benefits,Colorado FAMLI,Help me with CO FAMLI
Scheduling,Employee Shift Check,check employee shifts
ADA Accommodation,Job Accommodation Request,Job Accomodation
Leave of Absence,Education Leave,education leave
Insurance & Benefits,Life Insurance Benefits,life insurance
Insurance & Benefits,EPO Plan Information,Help me with EPO means
Insurance & Benefits,EPO Plan Information,Help me with epo
Forms,1481 Form,What is a 1481 Form?
Education Assistance,Scholarship Eligibility,employee scholarship?
Employee Information,Employee Information Check,check employee information
Education Assistance,Scholarship Eligibility,where to check employee's eligibility for scholarship?
Education Assistance,Dependent Scholarship Program,scholarship for dependent
Forms,1510 Form Information,Help me with 1510
Forms,1480 Form Information,Help me with 1480
Payroll,Overtime Pay Calculation,how overtime pay works in Northern California
Family Leave,Family Leave Request,Family Leave
Stress Leave,Stress Leave Request,how to initiate a stress leave
Stress Leave,Stress Leave Request,stress leave
Vacation,Vacation Cash Out,How many vaction hours can get if she applied for cash out in ncal region?
Business/Finance,ROI Meaning,ROI meaning
Medical Correspondence,Medical Correspondence Number,medical correspondence number
Anniversary,Anniversary Recognition,How does annieversary works for scal region?
Forms,FMI Form,what is fmi
Employment Verification,TWN Number,TWN Number
Family Leave,FMLA and CO FAMLI combined usage,can employee apply FMLA and CO FAMLI together?
Payroll,Salary Base,Help me with base
Payroll,Salary Base,Salary base
Payroll,Salary Grade,salary grade
Timekeeping & Attendance,On-call Pay,Help me with on call
Employee Separation,Termination Process,Help me with termination
Employee Status,Work Status Inquiry,work status
Overpayments,Overpayment Credit,overpayment note creditted
Payroll,Wage Audit,wage audit
Employee Status,Change to Flex Worker,CHANGE TO FLEX WORKER
Employee Status,Status Change Request,CHANGE STATUS
Overpayments,Overpayment Cancellation,how to cancel overpayment
Bereavement Leave,Reproductive Loss Leave,Leave from work after a reproductive loss
Bereavement Leave,Miscarriage Bereavement Leave,is miscarriage considered bereavement leave
Benefits Billing,Benefits Billing Email,can benefits billing be sent through email?
Benefits Billing,Benefits Billing Location,where is benefits billing being sent?
Benefits Billing,Benefits Billing Email,is benefits billing can be send through email
Benefits,Domestic Partner Benefits,domestic partner
Forms,AB109 Form,Help me with AB109
Member Services,Office Hours,member services officehours
Member Services,Office Hours,member services offic hours
Recruiting & Hiring,Job Referral Process,how to refer for job posting
Payroll,Tax Form Line,working hours of tax form line
Company Information,Facility Location - Georgia,facility location of georgia
Employee Separation,Resignation vs Retirement,what is the difference of resignation and retirement?
Employee Separation,Involuntary Termination Reasons,what are the reasons for involuntary termination
Employee Separation,Involuntary Termination Reasons,what are the reason for involuntary termination
Labor Relations,General LRC,Help me with LRC
Forms,Form 3460,Help me with 3460
Employee Relations,Termination Dispute,how to file a dispute for termination
Outlook & Email,KP.org Email Address Correction,who corrects an employees kp.org email address?
Employee Separation,Retired Employee Information,retired employee
Employee Separation,Retired Employee Information,retired emoloyee
HR Operations,Immigration Services,Help me with immigration
Forms,I-9 Update,I-9 update
Medical Records,Chart Privacy,How to add privacy in the chart?
Leave of Absence,Bridge Leave,what is bridge leave
Leave of Absence,Bridge Leave,what will be the indication of bridging leave
Software/Application Support,Taleo System,Help me with TALEO
Software/Application Support,Taleo System,ACCESS TO TALEO
HR Operations,KPRC/NHRSC Information Request,What request KPRC creates to request additional information from NHRSC
Leave of Absence,Leave Start Date,Leave Start date
Employee Records,Personnel File,Personel file
Recruiting & Hiring,Job Requisition,job requisition
Legal & Compliance Issue,Tort Law,Help me with tort
Recruiting & Hiring,Job Requisition,Help me with requisition
Job Classification & Progression,Job Location,job location
Training & Development,Job Shadowing,shadow speech language pathologist
Training & Development,Job Shadowing,Help me with shadow
Reimbursement,Citizenship Reimbursement,what is citizenship reimbursement
Forms,Form 3645,Help me with 3645
Pay Differential,Hourly to Salaried Conversion,hourly to salaried
Pay Differential,Hourly to Salaried Conversion,HOURLY TO SALARY
Leave of Absence,Personal Leave,personal leave
Job Accommodation,Job Accommodation Process,Job accommodation process.
Job Accommodation,Job Accommodation Process,Help me with Accommodation
Job Accommodation,Job Accommodation Process,How to apply for Job accommodation?
Payroll,Wage Audit,wage audit
Job Accommodation,Job Accommodation Process,job accommodation
IT Support,IT Service Number,Help me with it number
Payroll,FSL Coding,fsl coding
Employee Records,Inactive Status Change,CHANGE INACTIVE STATUS
Employee Records,Inactive Status Change,INACTIVE STATUS
Employee Records,Inactive Status Change,CHANGE INACTIVE STATUS\
Leave of Absence,Leave Type Revision,do i revise leave type from medical to industrial based on doctor note
Employee Separation,Reduction in Workforce,how to start a reduction in workforce
Employee Separation,RIF Information,Help me with rif
Leave of Absence,Administrative Leave,administrative leave
Leave of Absence,Administrative Leave,how to place employee out on paid admin leave
Leave of Absence,Administrative Leave,administrative leave
Retirement & Savings Plan,Retirement Benefits Information,Retirement books benefits?
Job Classification & Progression,Job Code Information,Help me with job code
Forms,Master MCC,MASTER MCC
Education Assistance,CESLA Information,Help me with CESLA
Disability Management,Disability Consultant Contact,How long will the disability consultant to reach the EE?
Disability Management,Disability Consultant Contact,How long will the disability consultant will reach out to the EE?
Benefits,KPWA Benefits,who shoulders kpwa benefits once unpaid and receiving more from state
Recruiting & Hiring,UAR Information,UAR details
Recruiting & Hiring,UAR Information,UAR requisitions
Recruiting & Hiring,UAR Information,Help me with UAR taleo
Recruiting & Hiring,UAR Information,Help me with new UAR
Recruiting & Hiring,UAR Information,UAR position
Recruiting & Hiring,UAR Information,Help me with UAR
Recruiting & Hiring,UAR Information,Help me with uar
Contact Information,Directory/Regional Contacts,Help me with directory
Contact Information,Directory/Regional Contacts,contacts by region
Company Information,Kaiser Location Contact,downy kaiser contact
Job Classification & Progression,Full-Time Job Change,changes to a full time job
Forms,EDD Questionnaire Revision,how do i revised edd questionaire
Forms,Form 1540,Help me with 1540
Payroll,Supplemental Check Inquiry,Supplemental check inquiry
Reimbursement,Medical Cost Share,how to make a payment for cost share
